1. Abhyudaya Cooperative Bank | Cooperative Bank | ABHYUDAYA | cms4cnrmq0047wen4n1pdo8xw | Active | Personal Loan Mapped: Yes | Programs: Abhyudaya — Personal Loan | Priority: —
154. Rajkot Nagrik Sahakari Bank | Cooperative Bank | RAJKOT_NAGRIK | cms8hr40y005twed8dwyswnp9 | Active | Personal Loan Mapped: Yes | Programs: RNSB — Personal Loan | Priority: —
155. Razorpay Capital | NBFC | RAZORPAY_CAPITAL | cms8hrwx600a5wed8ytkeoh1v | Active | Personal Loan Mapped: Yes | Programs: Razorpay Capital — Personal Loan | Priority: —
156. RBL Bank | Private Bank | RBL | cms4cmu8v000xwen4q8migqib | Active | Personal Loan Mapped: Yes | Programs: RBL — Personal Loan | Priority: —
157. Saraswat Cooperative Bank | Cooperative Bank | SARASWAT | cms4cnp84003zwen42y73iquu | Active | Personal Loan Mapped: Yes | Programs: Saraswat — Personal Loan | Priority: —
158. SBI Cards | NBFC | SBI_CARDS | cms8hrg4x007fwed85bnip015 | Active | Personal Loan Mapped: Yes | Programs: SBI Cards — Personal Loan | Priority: —
159. Scotiabank | Bank | BANK_OF_NOVA_SCOTIA | cms8hrbxv006vwed86rlqljas | Active | Personal Loan Mapped: Yes | Programs: Scotiabank — Personal Loan | Priority: —
160. Shamrao Vithal Cooperative Bank | Cooperative Bank | SVC | cms4cnqfh0043wen468bfvh10 | Active | Personal Loan Mapped: Yes | Programs: SVC — Personal Loan | Priority: —
161. Shinhan Bank | Bank | SHINHAN_BANK | cms8hq6hx000fwed8xiqblfnz | Active | Personal Loan Mapped: Yes | Programs: Shinhan — Personal Loan | Priority: —
162. Shivalik Small Finance Bank | SFB | SHIVALIK_SFB | cms4cn5s60023wen4wkvadipu | Active | Personal Loan Mapped: Yes | Programs: Shivalik — Personal Loan | Priority: —
163. Shriram Finance | NBFC | SHRIRAM_FINANCE | cms4cnj6n003fwen42uyrgovo | Active | Personal Loan Mapped: Yes | Programs: Shriram — Personal Loan | Priority: —
164. Simpl | NBFC | SIMPL | cms8hqkgm002lwed8cjf470nt | Active | Personal Loan Mapped: Yes | Programs: Simpl — Personal Loan | Priority: —
165. Slice | NBFC | SLICE | cms8hql53002pwed8yu1d3ga1 | Active | Personal Loan Mapped: Yes | Programs: Slice — Personal Loan | Priority: —
166. SMBC | Bank | SUMITOMO_MITSUI | cms8hr9u1006nwed8m1mpmogv | Active | Personal Loan Mapped: Yes | Programs: SMBC — Personal Loan | Priority: —
167. SMFG India Credit | NBFC | SMFG_INDIA | cms8hqswj003zwed82nroc47c | Active | Personal Loan Mapped: Yes | Programs: SMFG — Personal Loan | Priority: —
168. Société Générale | Bank | SOCIETE_GENERALE | cms8hryfe00adwed8epdmpjou | Active | Personal Loan Mapped: Yes | Programs: SocGen — Personal Loan | Priority: —
169. South Indian Bank | Private Bank | SIB | cms4cmusj000zwen4x47m61qh | Active | Personal Loan Mapped: Yes | Programs: SIB — Personal Loan | Priority: —
170. Standard Chartered Bank | Bank | STANDARD_CHARTERED | cms8hq3nz0003wed804dmj3ou | Active | Personal Loan Mapped: Yes | Programs: StanChart — Personal Loan | Priority: —
171. State Bank of India | Public Bank | SBI | cmrusopva003rwe60cjyga2va | Active | Personal Loan Mapped: Yes | Programs: SBI — Personal Loan | Priority: —
172. State Bank of Mauritius | Bank | STATE_BANK_MAURITIUS | cms8hq716000hwed8zahv9olh | Active | Personal Loan Mapped: Yes | Programs: SBM — Personal Loan | Priority: —
173. State Bank of Sikkim | Cooperative Bank | SIKKIM_STATE | cms8hrndq008lwed8msxbqlhq | Active | Personal Loan Mapped: Yes | Programs: SBS — Personal Loan | Priority: —
174. Suryoday Small Finance Bank | SFB | SURYODAY_SFB | cms4cn3ji001vwen4cagyq7za | Active | Personal Loan Mapped: Yes | Programs: Suryoday — Personal Loan | Priority: —
175. Tamilnad Mercantile Bank | Private Bank | TMB | cms4cmxiq0019wen4e5ol0z0d | Active | Personal Loan Mapped: Yes | Programs: TMB — Personal Loan | Priority: —
176. Tata Capital | NBFC | TATA_CAPITAL | cms4cng5z0035wen4tirf9gtk | Active | Personal Loan Mapped: Yes | Programs: Tata Capital — Personal Loan | Priority: —
177. Telangana Grameena Bank | Cooperative Bank | TELANGANA_GRAMIN | cms8hrhtn007pwed8ztkjr692 | Active | Personal Loan Mapped: Yes | Programs: TGB — Personal Loan | Priority: —
178. Telangana State Co-op Apex Bank | Cooperative Bank | TELANGANA_STATE_COOP | cms8hrtv5009nwed8eev9hfuv | Active | Personal Loan Mapped: Yes | Programs: TSCAB — Personal Loan | Priority: —
179. Thirumeni Finance | NBFC | THIRUMENI_FINANCE | cms8hqnib0033wed8rmy0kji9 | Active | Personal Loan Mapped: Yes | Programs: Thirumeni — Personal Loan | Priority: —
180. Tirupati Urban Co-op Bank | Cooperative Bank | TIRUPATI_URBAN | cms8hqr7x003pwed88gu3r0pi | Active | Personal Loan Mapped: Yes | Programs: TUCB — Personal Loan | Priority: —
181. TJSB Sahakari Bank | Cooperative Bank | TJSB | cms8hr1cd005dwed84mwk8f2w | Active | Personal Loan Mapped: Yes | Programs: TJSB — Personal Loan | Priority: —
182. TNSC Bank | Cooperative Bank | TAMILNADU_STATE_COOP | cms8hrp29008vwed84v8vvzrb | Active | Personal Loan Mapped: Yes | Programs: TNSC — Personal Loan | Priority: —
183. Tripura Gramin Bank | Cooperative Bank | TRIPURA_GRAMIN | cms8hrlox008bwed8ra0sxvqt | Active | Personal Loan Mapped: Yes | Programs: TGB Tripura — Personal Loan | Priority: —
184. UCO Bank | Public Bank | UCO | cms4cmou6000jwen4z4e6t25z | Active | Personal Loan Mapped: Yes | Programs: UCO — Personal Loan | Priority: —
185. Ujjivan Small Finance Bank | SFB | UJJIVAN_SFB | cms4cn1w4001pwen4zpbally2 | Active | Personal Loan Mapped: Yes | Programs: Ujjivan — Personal Loan | Priority: —
186. Uni | NBFC | UNI_CARDS | cms8hqlha002rwed864ilspm7 | Active | Personal Loan Mapped: Yes | Programs: Uni — Personal Loan | Priority: —
187. Union Bank of India | Public Bank | UNION | cms4cmm3o0009wen4yhucbia9 | Active | Personal Loan Mapped: Yes | Programs: Union — Personal Loan | Priority: —
188. Unity Small Finance Bank | SFB | UNITY_SFB | cms4cn6bs0025wen42dd7eggm | Active | Personal Loan Mapped: Yes | Programs: Unity — Personal Loan | Priority: —
189. UP Co-operative Bank | Cooperative Bank | UP_STATE_COOP | cms8hrt4c009jwed8u2aeojok | Active | Personal Loan Mapped: Yes | Programs: UPCB — Personal Loan | Priority: —
190. Utkarsh Small Finance Bank | SFB | UTKARSH_SFB | cms4cn43c001xwen4ihd9730u | Active | Personal Loan Mapped: Yes | Programs: Utkarsh — Personal Loan | Priority: —
191. Uttarakhand Gramin Bank | Cooperative Bank | UTTARAKHAND_GRAMIN | cms8hrkoh0085wed80sv3josv | Active | Personal Loan Mapped: Yes | Programs: UGB — Personal Loan | Priority: —
192. Uttarakhand State Co-operative Bank | Cooperative Bank | UTTARAKHAND_STATE_COOP | cms8hrss3009hwed8gymo3967 | Active | Personal Loan Mapped: Yes | Programs: USCB — Personal Loan | Priority: —
193. West Bengal State Co-operative Bank | Cooperative Bank | WEST_BENGAL_STATE_COOP | cms8hrpqm008zwed8q4lkquis | Active | Personal Loan Mapped: Yes | Programs: WBSCB — Personal Loan | Priority: —
194. Woori Bank | Bank | WOORI_BANK | cms8hreb20075wed8xqluqzza | Active | Personal Loan Mapped: Yes | Programs: Woori — Personal Loan | Priority: —
195. Yes Bank | Private Bank | YES | cms4cmtp4000vwen44q8r6ajy | Active | Personal Loan Mapped: Yes | Programs: Yes — Personal Loan | Priority: —
196. ZipLoan | NBFC | ZIPLOAN | cms8hs0iu00anwed8ytdz5m3h | Active | Personal Loan Mapped: Yes | Programs: ZipLoan — Personal Loan | Priority: —
197. Zoroastrian Co-operative Bank | Cooperative Bank | ZOROASTRIAN | cms8hr5dr0061wed8ehmcu173 | Active | Personal Loan Mapped: Yes | Programs: Zoroastrian Bank — Personal Loan | Priority: —
