1. Abhyudaya Cooperative Bank | Cooperative Bank | ABHYUDAYA | cms4cnrmq0047wen4n1pdo8xw | Active | Unsecured Business Loan Mapped: Yes | Programs: Abhyudaya — Business Loan (Unsecured) | Priority: —
139. Mehsana Urban Co-op Bank | Cooperative Bank | MEHSANA_URBAN | cms8hr3ox005rwed85i2ht19j | Active | Unsecured Business Loan Mapped: Yes | Programs: Mehsana UCB — Business Loan (Unsecured) | Priority: —
140. Mercedes-Benz Financial Services | NBFC | MERCEDES_BENZ_FS | cms8hqpj4003fwed8gwk1yat2 | Active | Unsecured Business Loan Mapped: Yes | Programs: MBFS — Business Loan (Unsecured) | Priority: —
141. Mizoram Rural Bank | Cooperative Bank | MIZORAM_RURAL | cms8hrmd3008fwed8kd55zdw4 | Active | Unsecured Business Loan Mapped: Yes | Programs: MzRB — Business Loan (Unsecured) | Priority: —
142. Mizuho Bank | Bank | MIZUHO | cms8hr9de006lwed8h35dlwln | Active | Unsecured Business Loan Mapped: Yes | Programs: Mizuho — Business Loan (Unsecured) | Priority: —
143. MoneyTap | NBFC | MONEYTAP | cms8hqidh0029wed84sfug16z | Active | Unsecured Business Loan Mapped: Yes | Programs: MoneyTap — Business Loan (Unsecured) | Priority: —
144. Motilal Oswal Credit | NBFC | MOTILAL_OSWAL | cms8hqxz5004twed8gi9una78 | Active | Unsecured Business Loan Mapped: Yes | Programs: MOFSL Credit — Business Loan (Unsecured) | Priority: —
145. MP State Co-operative Bank | Cooperative Bank | MADHYA_PRADESH_STATE_COOP | cms8hrr3d0097wed8y7lgw9qn | Active | Unsecured Business Loan Mapped: Yes | Programs: MPSCB — Business Loan (Unsecured) | Priority: —
146. Mswipe | NBFC | MSWIPE | cms8hrxlt00a9wed85bbrzetc | Active | Unsecured Business Loan Mapped: Yes | Programs: Mswipe — Business Loan (Unsecured) | Priority: —
147. MUFG Bank | Bank | MUFG_BANK | cms8hr8wh006jwed876rv2dco | Active | Unsecured Business Loan Mapped: Yes | Programs: MUFG — Business Loan (Unsecured) | Priority: —
148. Muthoot Capital | NBFC | MUTHOOT_CAPITAL | cms8hqmhy002xwed8a8cpr6dx | Active | Unsecured Business Loan Mapped: Yes | Programs: Muthoot Capital — Business Loan (Unsecured) | Priority: —
149. Muthoot Finance | NBFC | MUTHOOT | cms4cnmrv003rwen4127dugwy | Active | Unsecured Business Loan Mapped: Yes | Programs: Muthoot — Business Loan (Unsecured) | Priority: —
150. Muthoot Fincorp | NBFC | MUTHOOT_FINCORP | cms8hqm5p002vwed88icftkcb | Active | Unsecured Business Loan Mapped: Yes | Programs: Muthoot Fincorp — Business Loan (Unsecured) | Priority: —
151. Muthoot Microfin | NBFC | MUTHOOT_MICROFIN | cms8hqxb6004pwed8f16xf0t0 | Active | Unsecured Business Loan Mapped: Yes | Programs: Muthoot Microfin — Business Loan (Unsecured) | Priority: —
152. NABARD | NBFC | NABARD | cms8hr0c20057wed8w9xo4lr0 | Active | Unsecured Business Loan Mapped: Yes | Programs: NABARD — Business Loan (Unsecured) | Priority: —
153. Nagaland Rural Bank | Cooperative Bank | NAGALAND_RURAL | cms8hrmpd008hwed8thdnawp4 | Active | Unsecured Business Loan Mapped: Yes | Programs: NRB — Business Loan (Unsecured) | Priority: —
154. Nainital Bank | Private Bank | NAINITAL | cms4cn08y001jwen42hvxrs0e | Active | Unsecured Business Loan Mapped: Yes | Programs: Nainital — Business Loan (Unsecured) | Priority: —
155. Namdev Finvest | NBFC | NAMDEV_FINVEST | cms8hs0uu00apwed87if2z0ua | Active | Unsecured Business Loan Mapped: Yes | Programs: Namdev — Business Loan (Unsecured) | Priority: —
156. Navi | NBFC | NAVI | cms8hqjgh002fwed8h8yzpae2 | Active | Unsecured Business Loan Mapped: Yes | Programs: Navi — Business Loan (Unsecured) | Priority: —
157. NeoGrowth | NBFC | NEOGROWTH | cms8hqh0u0021wed883wmoo9q | Active | Unsecured Business Loan Mapped: Yes | Programs: NeoGrowth — Business Loan (Unsecured) | Priority: —
158. New India Co-operative Bank | Cooperative Bank | NEW_INDIA_COOP | cms8hr2ct005jwed8m8a1p200 | Active | Unsecured Business Loan Mapped: Yes | Programs: New India Coop — Business Loan (Unsecured) | Priority: —
159. NKGSB Cooperative Bank | Cooperative Bank | NKGSB | cms4cnr100045wen40lyv32tq | Active | Unsecured Business Loan Mapped: Yes | Programs: NKGSB — Business Loan (Unsecured) | Priority: —
160. North East Small Finance Bank | SFB | NESFB | cms4cn58j0021wen4gffag33l | Active | Unsecured Business Loan Mapped: Yes | Programs: NESFB — Business Loan (Unsecured) | Priority: —
161. Northern Arc | NBFC | NORTHERN_ARC | cms8hqs89003vwed8ci29xcex | Active | Unsecured Business Loan Mapped: Yes | Programs: Northern Arc — Business Loan (Unsecured) | Priority: —
162. Odisha Gramya Bank | Cooperative Bank | ODISHA_GRAMYA | cms8hrgh4007hwed8o56n5lzv | Active | Unsecured Business Loan Mapped: Yes | Programs: OGB — Business Loan (Unsecured) | Priority: —
163. Open | NBFC | OPEN_FINANCIAL | cms8hrwkz00a3wed8xn8qhhqh | Active | Unsecured Business Loan Mapped: Yes | Programs: Open — Business Loan (Unsecured) | Priority: —
164. PayU Finance | NBFC | PAYU_FINANCE | cms8hqjsn002hwed8de8uj604 | Active | Unsecured Business Loan Mapped: Yes | Programs: PayU Finance — Business Loan (Unsecured) | Priority: —
165. Pine Labs Capital | NBFC | PINE_LABS_CAPITAL | cms8hrx9c00a7wed8snf6gu60 | Active | Unsecured Business Loan Mapped: Yes | Programs: Pine Labs — Business Loan (Unsecured) | Priority: —
166. Piramal Finance | NBFC | PIRAMAL_FINANCE | cms4cnkz5003lwen4jfhr97rd | Active | Unsecured Business Loan Mapped: Yes | Programs: Piramal Finance — Business Loan (Unsecured) | Priority: —
167. PMC Bank (Legacy) | Cooperative Bank | PUNJAB_MAHARASHTRA | cms8hr51j005zwed8xax2hpk6 | Active | Unsecured Business Loan Mapped: Yes | Programs: PMC — Business Loan (Unsecured) | Priority: —
168. Poonawalla Fincorp | NBFC | POONAWALLA | cms4cnjs5003hwen4fdzqoebf | Active | Unsecured Business Loan Mapped: Yes | Programs: Poonawalla — Business Loan (Unsecured) | Priority: —
169. Power Finance Corporation | NBFC | PFC | cms8hqyn7004xwed8y7jf2wpw | Active | Unsecured Business Loan Mapped: Yes | Programs: PFC — Business Loan (Unsecured) | Priority: —
170. Prathama UP Gramin Bank | Cooperative Bank | PRATHAMA_UP | cms8hrizb007vwed8vovtraf6 | Active | Unsecured Business Loan Mapped: Yes | Programs: Prathama UP — Business Loan (Unsecured) | Priority: —
171. Protium | NBFC | PROTIUM | cms8hqt8o0041wed8hci3lu0r | Active | Unsecured Business Loan Mapped: Yes | Programs: Protium — Business Loan (Unsecured) | Priority: —
172. Punjab & Sind Bank | Public Bank | PSB | cms4cmpxm000nwen466wwhm7o | Active | Unsecured Business Loan Mapped: Yes | Programs: PSB — Business Loan (Unsecured) | Priority: —
173. Punjab Gramin Bank | Cooperative Bank | PUNJAB_GRAMIN | cms8hrk010081wed8vk427w6w | Active | Unsecured Business Loan Mapped: Yes | Programs: PGB — Business Loan (Unsecured) | Priority: —
174. Punjab National Bank | Public Bank | PNB | cms4cml070005wen4713bpnwd | Active | Unsecured Business Loan Mapped: Yes | Programs: PNB — Business Loan (Unsecured) | Priority: —
175. Punjab State Co-operative Bank | Cooperative Bank | PUNJAB_STATE_COOP | cms8hrs3w009dwed8bflex5g4 | Active | Unsecured Business Loan Mapped: Yes | Programs: PSCB — Business Loan (Unsecured) | Priority: —
176. QNB | Bank | QATAR_NATIONAL | cms8hrbh1006twed8nlqa8nkx | Active | Unsecured Business Loan Mapped: Yes | Programs: QNB — Business Loan (Unsecured) | Priority: —
177. Rajarambapu Sahakari Bank | Cooperative Bank | RAJARAMBAPU | cms8hr30l005nwed8j38xuwra | Active | Unsecured Business Loan Mapped: Yes | Programs: Rajarambapu — Business Loan (Unsecured) | Priority: —
178. Rajasthan Marudhara Gramin Bank | Cooperative Bank | RAJASTHAN_MARUDHARA | cms8hrjns007zwed8ysynj636 | Active | Unsecured Business Loan Mapped: Yes | Programs: RMGB — Business Loan (Unsecured) | Priority: —
179. Rajasthan State Co-operative Bank | Cooperative Bank | RAJASTHAN_STATE_COOP | cms8hrrfn0099wed8rt3wyxr0 | Active | Unsecured Business Loan Mapped: Yes | Programs: RSCB — Business Loan (Unsecured) | Priority: —
180. Rajkot Nagrik Sahakari Bank | Cooperative Bank | RAJKOT_NAGRIK | cms8hr40y005twed8dwyswnp9 | Active | Unsecured Business Loan Mapped: Yes | Programs: RNSB — Business Loan (Unsecured) | Priority: —
181. Razorpay Capital | NBFC | RAZORPAY_CAPITAL | cms8hrwx600a5wed8ytkeoh1v | Active | Unsecured Business Loan Mapped: Yes | Programs: Razorpay Capital — Business Loan (Unsecured) | Priority: —
182. RBL Bank | Private Bank | RBL | cms4cmu8v000xwen4q8migqib | Active | Unsecured Business Loan Mapped: Yes | Programs: RBL — Business Loan (Unsecured) | Priority: —
183. REC Limited | NBFC | REC_LIMITED | cms8hqyb4004vwed8uuyy9ki9 | Active | Unsecured Business Loan Mapped: Yes | Programs: REC — Business Loan (Unsecured) | Priority: —
184. Saraswat Cooperative Bank | Cooperative Bank | SARASWAT | cms4cnp84003zwen42y73iquu | Active | Unsecured Business Loan Mapped: Yes | Programs: Saraswat — Business Loan (Unsecured) | Priority: —
185. SBI Cards | NBFC | SBI_CARDS | cms8hrg4x007fwed85bnip015 | Active | Unsecured Business Loan Mapped: Yes | Programs: SBI Cards — Business Loan (Unsecured) | Priority: —
186. Scotiabank | Bank | BANK_OF_NOVA_SCOTIA | cms8hrbxv006vwed86rlqljas | Active | Unsecured Business Loan Mapped: Yes | Programs: Scotiabank — Business Loan (Unsecured) | Priority: —
187. Shamrao Vithal Cooperative Bank | Cooperative Bank | SVC | cms4cnqfh0043wen468bfvh10 | Active | Unsecured Business Loan Mapped: Yes | Programs: SVC — Business Loan (Unsecured) | Priority: —
188. Shinhan Bank | Bank | SHINHAN_BANK | cms8hq6hx000fwed8xiqblfnz | Active | Unsecured Business Loan Mapped: Yes | Programs: Shinhan — Business Loan (Unsecured) | Priority: —
189. Shivalik Small Finance Bank | SFB | SHIVALIK_SFB | cms4cn5s60023wen4wkvadipu | Active | Unsecured Business Loan Mapped: Yes | Programs: Shivalik — Business Loan (Unsecured) | Priority: —
190. Shriram Finance | NBFC | SHRIRAM_FINANCE | cms4cnj6n003fwen42uyrgovo | Active | Unsecured Business Loan Mapped: Yes | Programs: Shriram — Business Loan (Unsecured) | Priority: —
191. SIDBI | NBFC | SIDBI | cms8hqzzs0055wed8y0ymyp4g | Active | Unsecured Business Loan Mapped: Yes | Programs: SIDBI — Business Loan (Unsecured) | Priority: —
192. Simpl | NBFC | SIMPL | cms8hqkgm002lwed8cjf470nt | Active | Unsecured Business Loan Mapped: Yes | Programs: Simpl — Business Loan (Unsecured) | Priority: —
193. Slice | NBFC | SLICE | cms8hql53002pwed8yu1d3ga1 | Active | Unsecured Business Loan Mapped: Yes | Programs: Slice — Business Loan (Unsecured) | Priority: —
194. SMBC | Bank | SUMITOMO_MITSUI | cms8hr9u1006nwed8m1mpmogv | Active | Unsecured Business Loan Mapped: Yes | Programs: SMBC — Business Loan (Unsecured) | Priority: —
195. SMFG India Credit | NBFC | SMFG_INDIA | cms8hqswj003zwed82nroc47c | Active | Unsecured Business Loan Mapped: Yes | Programs: SMFG — Business Loan (Unsecured) | Priority: —
196. Société Générale | Bank | SOCIETE_GENERALE | cms8hryfe00adwed8epdmpjou | Active | Unsecured Business Loan Mapped: Yes | Programs: SocGen — Business Loan (Unsecured) | Priority: —
197. South Indian Bank | Private Bank | SIB | cms4cmusj000zwen4x47m61qh | Active | Unsecured Business Loan Mapped: Yes | Programs: SIB — Business Loan (Unsecured) | Priority: —
198. Spandana Sphoorty | NBFC | SPANDANA | cms8hquzd004bwed8xvfo4w28 | Active | Unsecured Business Loan Mapped: Yes | Programs: Spandana — Business Loan (Unsecured) | Priority: —
199. Srei Equipment Finance | NBFC | SREI_EQUIPMENT | cms8hqqvv003nwed8q9b0hp0l | Active | Unsecured Business Loan Mapped: Yes | Programs: Srei — Business Loan (Unsecured) | Priority: —
200. Standard Chartered Bank | Bank | STANDARD_CHARTERED | cms8hq3nz0003wed804dmj3ou | Active | Unsecured Business Loan Mapped: Yes | Programs: StanChart — Business Loan (Unsecured) | Priority: —
201. State Bank of India | Public Bank | SBI | cmrusopva003rwe60cjyga2va | Active | Unsecured Business Loan Mapped: Yes | Programs: SBI — Business Loan (Unsecured) | Priority: —
202. State Bank of Mauritius | Bank | STATE_BANK_MAURITIUS | cms8hq716000hwed8zahv9olh | Active | Unsecured Business Loan Mapped: Yes | Programs: SBM — Business Loan (Unsecured) | Priority: —
203. State Bank of Sikkim | Cooperative Bank | SIKKIM_STATE | cms8hrndq008lwed8msxbqlhq | Active | Unsecured Business Loan Mapped: Yes | Programs: SBS — Business Loan (Unsecured) | Priority: —
204. Sundaram Finance | NBFC | SUNDARAM_FINANCE | cms8hqoiu0039wed8rlyqc8ou | Active | Unsecured Business Loan Mapped: Yes | Programs: Sundaram Finance — Business Loan (Unsecured) | Priority: —
205. Suryoday Small Finance Bank | SFB | SURYODAY_SFB | cms4cn3ji001vwen4cagyq7za | Active | Unsecured Business Loan Mapped: Yes | Programs: Suryoday — Business Loan (Unsecured) | Priority: —
206. Svatantra | NBFC | SVATANTRA | cms8hqu8o0047wed8y00zs6wm | Active | Unsecured Business Loan Mapped: Yes | Programs: Svatantra — Business Loan (Unsecured) | Priority: —
207. Tamilnad Mercantile Bank | Private Bank | TMB | cms4cmxiq0019wen4e5ol0z0d | Active | Unsecured Business Loan Mapped: Yes | Programs: TMB — Business Loan (Unsecured) | Priority: —
208. Tata Capital | NBFC | TATA_CAPITAL | cms4cng5z0035wen4tirf9gtk | Active | Unsecured Business Loan Mapped: Yes | Programs: Tata Capital — Business Loan (Unsecured) | Priority: —
209. Tata Motors Finance | NBFC | TATA_MOTORS_FINANCE | cms8hqov0003bwed8lpcpp4ck | Active | Unsecured Business Loan Mapped: Yes | Programs: TMFL — Business Loan (Unsecured) | Priority: —
210. Telangana Grameena Bank | Cooperative Bank | TELANGANA_GRAMIN | cms8hrhtn007pwed8ztkjr692 | Active | Unsecured Business Loan Mapped: Yes | Programs: TGB — Business Loan (Unsecured) | Priority: —
211. Telangana State Co-op Apex Bank | Cooperative Bank | TELANGANA_STATE_COOP | cms8hrtv5009nwed8eev9hfuv | Active | Unsecured Business Loan Mapped: Yes | Programs: TSCAB — Business Loan (Unsecured) | Priority: —
212. Thirumeni Finance | NBFC | THIRUMENI_FINANCE | cms8hqnib0033wed8rmy0kji9 | Active | Unsecured Business Loan Mapped: Yes | Programs: Thirumeni — Business Loan (Unsecured) | Priority: —
213. Tirupati Urban Co-op Bank | Cooperative Bank | TIRUPATI_URBAN | cms8hqr7x003pwed88gu3r0pi | Active | Unsecured Business Loan Mapped: Yes | Programs: TUCB — Business Loan (Unsecured) | Priority: —
214. TJSB Sahakari Bank | Cooperative Bank | TJSB | cms8hr1cd005dwed84mwk8f2w | Active | Unsecured Business Loan Mapped: Yes | Programs: TJSB — Business Loan (Unsecured) | Priority: —
215. TNSC Bank | Cooperative Bank | TAMILNADU_STATE_COOP | cms8hrp29008vwed84v8vvzrb | Active | Unsecured Business Loan Mapped: Yes | Programs: TNSC — Business Loan (Unsecured) | Priority: —
216. Toyota Financial Services | NBFC | TOYOTA_FINANCIAL | cms8hqp6w003dwed81w5oimm2 | Active | Unsecured Business Loan Mapped: Yes | Programs: TFS India — Business Loan (Unsecured) | Priority: —
217. Tripura Gramin Bank | Cooperative Bank | TRIPURA_GRAMIN | cms8hrlox008bwed8ra0sxvqt | Active | Unsecured Business Loan Mapped: Yes | Programs: TGB Tripura — Business Loan (Unsecured) | Priority: —
218. TVS Credit | NBFC | TVS_CREDIT | cms8hrujl009rwed8hdiy5acl | Active | Unsecured Business Loan Mapped: Yes | Programs: TVS Credit — Business Loan (Unsecured) | Priority: —
219. UCO Bank | Public Bank | UCO | cms4cmou6000jwen4z4e6t25z | Active | Unsecured Business Loan Mapped: Yes | Programs: UCO — Business Loan (Unsecured) | Priority: —
220. UGRO Capital | NBFC | UGRO_CAPITAL | cms8hqrjx003rwed8dkqgycob | Active | Unsecured Business Loan Mapped: Yes | Programs: UGRO — Business Loan (Unsecured) | Priority: —
221. Ujjivan Small Finance Bank | SFB | UJJIVAN_SFB | cms4cn1w4001pwen4zpbally2 | Active | Unsecured Business Loan Mapped: Yes | Programs: Ujjivan — Business Loan (Unsecured) | Priority: —
222. Uni | NBFC | UNI_CARDS | cms8hqlha002rwed864ilspm7 | Active | Unsecured Business Loan Mapped: Yes | Programs: Uni — Business Loan (Unsecured) | Priority: —
223. Union Bank of India | Public Bank | UNION | cms4cmm3o0009wen4yhucbia9 | Active | Unsecured Business Loan Mapped: Yes | Programs: Union — Business Loan (Unsecured) | Priority: —
224. Unity Small Finance Bank | SFB | UNITY_SFB | cms4cn6bs0025wen42dd7eggm | Active | Unsecured Business Loan Mapped: Yes | Programs: Unity — Business Loan (Unsecured) | Priority: —
225. UP Co-operative Bank | Cooperative Bank | UP_STATE_COOP | cms8hrt4c009jwed8u2aeojok | Active | Unsecured Business Loan Mapped: Yes | Programs: UPCB — Business Loan (Unsecured) | Priority: —
226. Utkarsh Small Finance Bank | SFB | UTKARSH_SFB | cms4cn43c001xwen4ihd9730u | Active | Unsecured Business Loan Mapped: Yes | Programs: Utkarsh — Business Loan (Unsecured) | Priority: —
227. Uttarakhand Gramin Bank | Cooperative Bank | UTTARAKHAND_GRAMIN | cms8hrkoh0085wed80sv3josv | Active | Unsecured Business Loan Mapped: Yes | Programs: UGB — Business Loan (Unsecured) | Priority: —
228. Uttarakhand State Co-operative Bank | Cooperative Bank | UTTARAKHAND_STATE_COOP | cms8hrss3009hwed8gymo3967 | Active | Unsecured Business Loan Mapped: Yes | Programs: USCB — Business Loan (Unsecured) | Priority: —
229. Varthana | NBFC | VARTHANA | cms8hqfbp001rwed84wnony7q | Active | Unsecured Business Loan Mapped: Yes | Programs: Varthana — Business Loan (Unsecured) | Priority: —
230. Vivriti Capital | NBFC | VIVRITI_CAPITAL | cms8hqrw4003twed8trtn5mrs | Active | Unsecured Business Loan Mapped: Yes | Programs: Vivriti — Business Loan (Unsecured) | Priority: —
231. Volvo Financial Services | NBFC | VOLVO_FINANCIAL | cms8hqq7g003jwed8xtjlmlkn | Active | Unsecured Business Loan Mapped: Yes | Programs: Volvo FS — Business Loan (Unsecured) | Priority: —
232. West Bengal State Co-operative Bank | Cooperative Bank | WEST_BENGAL_STATE_COOP | cms8hrpqm008zwed8q4lkquis | Active | Unsecured Business Loan Mapped: Yes | Programs: WBSCB — Business Loan (Unsecured) | Priority: —
233. Woori Bank | Bank | WOORI_BANK | cms8hreb20075wed8xqluqzza | Active | Unsecured Business Loan Mapped: Yes | Programs: Woori — Business Loan (Unsecured) | Priority: —
234. Yes Bank | Private Bank | YES | cms4cmtp4000vwen44q8r6ajy | Active | Unsecured Business Loan Mapped: Yes | Programs: Yes — Business Loan (Unsecured) | Priority: —
235. ZipLoan | NBFC | ZIPLOAN | cms8hs0iu00anwed8ytdz5m3h | Active | Unsecured Business Loan Mapped: Yes | Programs: ZipLoan — Business Loan (Unsecured) | Priority: —
236. Zoroastrian Co-operative Bank | Cooperative Bank | ZOROASTRIAN | cms8hr5dr0061wed8ehmcu173 | Active | Unsecured Business Loan Mapped: Yes | Programs: Zoroastrian Bank — Business Loan (Unsecured) | Priority: —
